date_key,date_type,full_date,day_num_of_week,day_num_of_month,day_num_of_quarter,day_num_of_year,day_num_absolute,day_of_week_name,day_of_week_abbreviation,julian_day_num_of_year
110,Normal,1900-04-20 0:00,6,20,20,110,110,FRIDAY,FRI,1900110
111,Normal,1900-04-21 0:00,7,21,21,111,111,SATURDAY,SAT,1900111
112,Normal,1900-04-22 0:00,1,22,22,112,112,SUNDAY,SUN,1900112
113,Normal,1900-04-23 0:00,2,23,23,113,113,MONDAY,MON,1900113
114,Normal,1900-04-24 0:00,3,24,24,114,114,TUESDAY,TUE,1900114
115,Normal,1900-04-25 0:00,4,25,25,115,115,WEDNESDAY,WED,1900115
116,Normal,1900-04-26 0:00,5,26,26,116,116,THURSDAY,THU,1900116
117,Normal,1900-04-27 0:00,6,27,27,117,117,FRIDAY,FRI,1900117
118,Normal,1900-04-28 0:00,7,28,28,118,118,SATURDAY,SAT,1900118
119,Normal,1900-04-29 0:00,1,29,29,119,119,SUNDAY,SUN,1900119
120,Normal,1900-04-30 0:00,2,30,30,120,120,MONDAY,MON,1900120
121,Normal,1900-05-01 0:00,3,1,31,121,121,TUESDAY,TUE,1900121
122,Normal,1900-05-02 0:00,4,2,32,122,122,WEDNESDAY,WED,1900122
123,Normal,1900-05-03 0:00,5,3,33,123,123,THURSDAY,THU,1900123
124,Normal,1900-05-04 0:00,6,4,34,124,124,FRIDAY,FRI,1900124
125,Normal,1900-05-05 0:00,7,5,35,125,125,SATURDAY,SAT,1900125
126,Normal,1900-05-06 0:00,1,6,36,126,126,SUNDAY,SUN,1900126
127,Normal,1900-05-07 0:00,2,7,37,127,127,MONDAY,MON,1900127
128,Normal,1900-05-08 0:00,3,8,38,128,128,TUESDAY,TUE,1900128
129,Normal,1900-05-09 0:00,4,9,39,129,129,WEDNESDAY,WED,1900129
130,Normal,1900-05-10 0:00,5,10,40,130,130,THURSDAY,THU,1900130
131,Normal,1900-05-11 0:00,6,11,41,131,131,FRIDAY,FRI,1900131
132,Normal,1900-05-12 0:00,7,12,42,132,132,SATURDAY,SAT,1900132
133,Normal,1900-05-13 0:00,1,13,43,133,133,SUNDAY,SUN,1900133
134,Normal,1900-05-14 0:00,2,14,44,134,134,MONDAY,MON,1900134
135,Normal,1900-05-15 0:00,3,15,45,135,135,TUESDAY,TUE,1900135
136,Normal,1900-05-16 0:00,4,16,46,136,136,WEDNESDAY,WED,1900136
137,Normal,1900-05-17 0:00,5,17,47,137,137,THURSDAY,THU,1900137
138,Normal,1900-05-18 0:00,6,18,48,138,138,FRIDAY,FRI,1900138
139,Normal,1900-05-19 0:00,7,19,49,139,139,SATURDAY,SAT,1900139
140,Normal,1900-05-20 0:00,1,20,50,140,140,SUNDAY,SUN,1900140
141,Normal,1900-05-21 0:00,2,21,51,141,141,MONDAY,MON,1900141
142,Normal,1900-05-22 0:00,3,22,52,142,142,TUESDAY,TUE,1900142
143,Normal,1900-05-23 0:00,4,23,53,143,143,WEDNESDAY,WED,1900143
144,Normal,1900-05-24 0:00,5,24,54,144,144,THURSDAY,THU,1900144
145,Normal,1900-05-25 0:00,6,25,55,145,145,FRIDAY,FRI,1900145
146,Normal,1900-05-26 0:00,7,26,56,146,146,SATURDAY,SAT,1900146
147,Normal,1900-05-27 0:00,1,27,57,147,147,SUNDAY,SUN,1900147
148,Normal,1900-05-28 0:00,2,28,58,148,148,MONDAY,MON,1900148
149,Normal,1900-05-29 0:00,3,29,59,149,149,TUESDAY,TUE,1900149
150,Normal,1900-05-30 0:00,4,30,60,150,150,WEDNESDAY,WED,1900150
151,Normal,1900-05-31 0:00,5,31,61,151,151,THURSDAY,THU,1900151
152,Normal,1900-06-01 0:00,6,1,62,152,152,FRIDAY,FRI,1900152
153,Normal,1900-06-02 0:00,7,2,63,153,153,SATURDAY,SAT,1900153
154,Normal,1900-06-03 0:00,1,3,64,154,154,SUNDAY,SUN,1900154
155,Normal,1900-06-04 0:00,2,4,65,155,155,MONDAY,MON,1900155
156,Normal,1900-06-05 0:00,3,5,66,156,156,TUESDAY,TUE,1900156
157,Normal,1900-06-06 0:00,4,6,67,157,157,WEDNESDAY,WED,1900157
158,Normal,1900-06-07 0:00,5,7,68,158,158,THURSDAY,THU,1900158
159,Normal,1900-06-08 0:00,6,8,69,159,159,FRIDAY,FRI,1900159
160,Normal,1900-06-09 0:00,7,9,70,160,160,SATURDAY,SAT,1900160
161,Normal,1900-06-10 0:00,1,10,71,161,161,SUNDAY,SUN,1900161
162,Normal,1900-06-11 0:00,2,11,72,162,162,MONDAY,MON,1900162
163,Normal,1900-06-12 0:00,3,12,73,163,163,TUESDAY,TUE,1900163
164,Normal,1900-06-13 0:00,4,13,74,164,164,WEDNESDAY,WED,1900164
165,Normal,1900-06-14 0:00,5,14,75,165,165,THURSDAY,THU,1900165
166,Normal,1900-06-15 0:00,6,15,76,166,166,FRIDAY,FRI,1900166
167,Normal,1900-06-16 0:00,7,16,77,167,167,SATURDAY,SAT,1900167
168,Normal,1900-06-17 0:00,1,17,78,168,168,SUNDAY,SUN,1900168
169,Normal,1900-06-18 0:00,2,18,79,169,169,MONDAY,MON,1900169
170,Normal,1900-06-19 0:00,3,19,80,170,170,TUESDAY,TUE,1900170
171,Normal,1900-06-20 0:00,4,20,81,171,171,WEDNESDAY,WED,1900171
172,Normal,1900-06-21 0:00,5,21,82,172,172,THURSDAY,THU,1900172
173,Normal,1900-06-22 0:00,6,22,83,173,173,FRIDAY,FRI,1900173
174,Normal,1900-06-23 0:00,7,23,84,174,174,SATURDAY,SAT,1900174
175,Normal,1900-06-24 0:00,1,24,85,175,175,SUNDAY,SUN,1900175
176,Normal,1900-06-25 0:00,2,25,86,176,176,MONDAY,MON,1900176
177,Normal,1900-06-26 0:00,3,26,87,177,177,TUESDAY,TUE,1900177
178,Normal,1900-06-27 0:00,4,27,88,178,178,WEDNESDAY,WED,1900178
179,Normal,1900-06-28 0:00,5,28,89,179,179,THURSDAY,THU,1900179
180,Normal,1900-06-29 0:00,6,29,90,180,180,FRIDAY,FRI,1900180
181,Normal,1900-06-30 0:00,7,30,91,181,181,SATURDAY,SAT,1900181
182,Normal,1900-07-01 0:00,1,1,1,182,182,SUNDAY,SUN,1900182
183,Normal,1900-07-02 0:00,2,2,2,183,183,MONDAY,MON,1900183
184,Normal,1900-07-03 0:00,3,3,3,184,184,TUESDAY,TUE,1900184
185,Normal,1900-07-04 0:00,4,4,4,185,185,WEDNESDAY,WED,1900185
186,Normal,1900-07-05 0:00,5,5,5,186,186,THURSDAY,THU,1900186
187,Normal,1900-07-06 0:00,6,6,6,187,187,FRIDAY,FRI,1900187
188,Normal,1900-07-07 0:00,7,7,7,188,188,SATURDAY,SAT,1900188
189,Normal,1900-07-08 0:00,1,8,8,189,189,SUNDAY,SUN,1900189
190,Normal,1900-07-09 0:00,2,9,9,190,190,MONDAY,MON,1900190
191,Normal,1900-07-10 0:00,3,10,10,191,191,TUESDAY,TUE,1900191
192,Normal,1900-07-11 0:00,4,11,11,192,192,WEDNESDAY,WED,1900192
193,Normal,1900-07-12 0:00,5,12,12,193,193,THURSDAY,THU,1900193
194,Normal,1900-07-13 0:00,6,13,13,194,194,FRIDAY,FRI,1900194
195,Normal,1900-07-14 0:00,7,14,14,195,195,SATURDAY,SAT,1900195
196,Normal,1900-07-15 0:00,1,15,15,196,196,SUNDAY,SUN,1900196
197,Normal,1900-07-16 0:00,2,16,16,197,197,MONDAY,MON,1900197
198,Normal,1900-07-17 0:00,3,17,17,198,198,TUESDAY,TUE,1900198
199,Normal,1900-07-18 0:00,4,18,18,199,199,WEDNESDAY,WED,1900199
200,Normal,1900-07-19 0:00,5,19,19,200,200,THURSDAY,THU,1900200
201,Normal,1900-07-20 0:00,6,20,20,201,201,FRIDAY,FRI,1900201
202,Normal,1900-07-21 0:00,7,21,21,202,202,SATURDAY,SAT,1900202
